Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond yes or no.
313,1,1,1,Yes
314,5,5,5,Yes
315,5,5,5,Yes
316,2,2,2,Yes
317,1,1,1,Yes
318,5,5,5,Yes
319,2,2,2,No
320,3,3,3,Yes
321,,5,5,Yes
322,,3,3,Yes
323,,4,4,Yes
324,,5,5,Yes
325,,2,2,Yes
326,,5,5,Yes
327,,1,1,Yes
328,,3,3,No
329,,5,5,Yes
330,,3,3,No
331,,5,5,Yes
332,,2,2,Yes
333,,4,4,No
334,,3,3,Yes
335,,1,1,Yes
336,,5,5,Yes
337,,2,2,Yes
338,,4,4,No
339,,5,5,Yes
340,,2,2,Yes
341,,5,5,Yes
342,,3,3,No
343,,1,1,Yes
344,5,5,5,Yes
345,3,3,3,Yes
346,4,2,2,Yes
347,5,2,2,No
348,2,4,4,Yes
349,5,4,4,Yes
350,1,3,3,Yes
351,3,5,5,Yes
352,5,3,3,No
353,3,1,1,Yes
354,5,5,5,Yes
355,2,5,5,Yes
356,4,2,2,Yes
357,3,1,1,Yes
358,1,5,5,Yes
359,5,2,2,No
360,2,3,3,Yes
361,4,,,Yes
362,5,5,5,Yes
363,2,3,3,Yes
364,5,4,4,Yes
365,3,5,5,Yes
366,1,2,2,Yes
367,5,5,5,Yes
368,3,1,1,No
369,2,3,3,Yes
370,2,5,5,No
371,4,3,3,Yes
372,4,5,5,Yes
373,3,2,2,No
374,5,4,4,Yes
375,3,3,3,Yes
376,1,1,1,Yes
377,5,5,5,Yes
378,5,2,2,No
379,2,4,4,Yes
380,1,5,5,Yes
381,5,2,2,Yes
382,2,5,5,No
383,3,3,3,Yes
384,5,1,1,Yes
385,3,5,5,Yes
386,4,3,3,Yes
387,5,2,2,No
388,2,2,2,Yes
389,5,4,4,Yes
390,1,4,4,Yes
391,3,3,3,Yes
392,5,5,5,No
393,3,3,3,Yes
394,5,1,1,Yes
395,2,5,5,Yes
396,4,5,5,Yes
397,3,2,2,Yes
398,1,1,1,Yes
399,5,5,5,No
400,2,2,2,Yes
401,4,3,3,Yes
402,5,5,5,Yes
403,2,3,3,Yes
404,5,4,4,Yes
405,3,5,5,Yes
406,1,2,2,Yes
407,5,5,5,Yes
408,3,1,1,No
409,2,3,3,Yes
410,2,5,5,No
411,4,3,3,Yes
412,4,5,5,Yes
413,3,2,2,No
414,5,4,4,Yes
415,3,3,3,Yes
416,1,1,1,Yes
417,5,5,5,Yes
418,5,2,2,No
419,2,4,4,Yes
420,1,5,5,Yes
421,5,2,2,Yes
422,2,5,5,No
423,3,3,3,Yes
424,5,1,1,Yes
425,3,5,5,Yes
426,4,3,3,Yes
427,5,2,2,No
428,2,2,2,Yes
429,5,4,4,Yes
430,1,4,4,Yes
431,3,3,3,Yes
432,5,5,5,No
433,3,3,3,Yes
434,5,1,1,Yes
435,2,5,5,Yes
436,4,5,5,Yes
437,3,2,2,Yes
438,1,1,1,Yes
439,5,5,5,No
440,2,2,2,Yes
441,4,3,3,Yes
442,5,5,5,Yes
443,2,3,3,Yes
444,5,4,4,Yes
445,3,5,5,Yes
446,1,2,2,Yes
447,5,5,5,Yes
448,3,1,1,No
449,2,3,3,Yes
450,2,5,5,No
451,4,3,3,Yes
452,4,5,5,Yes
453,3,2,2,No
454,5,4,4,Yes
455,3,3,3,Yes
456,1,1,1,Yes
457,5,5,5,Yes
458,5,2,2,No
459,2,4,4,Yes
460,1,5,5,Yes
461,5,2,2,Yes
462,2,5,5,No
463,3,3,3,Yes
464,5,1,1,Yes
465,3,5,5,Yes
466,4,3,3,Yes
467,5,2,2,No
468,2,2,2,Yes
469,5,4,4,Yes
470,1,4,4,Yes
471,3,3,3,Yes
472,5,5,5,No
473,3,3,3,Yes
474,5,1,1,Yes
475,2,5,5,Yes
476,4,5,5,Yes
477,3,2,2,Yes
478,1,1,1,Yes
479,5,5,5,No
480,2,2,2,Yes
481,4,3,3,Yes
482,5,5,5,Yes
483,2,3,3,Yes
484,5,4,4,Yes
485,3,5,5,Yes
486,1,2,2,Yes
487,5,5,5,Yes
488,3,1,1,No
489,2,3,3,Yes
490,2,5,5,No
491,4,3,3,Yes
492,4,5,5,Yes
493,3,2,2,No
494,5,4,4,Yes
495,3,3,3,Yes
496,1,1,1,Yes
497,5,5,5,Yes
498,5,2,2,No
499,2,4,4,Yes
500,1,5,5,Yes
501,5,2,2,Yes
502,2,5,5,No
503,3,3,3,Yes
504,,1,1,Yes
505,5,5,5,Yes
506,3,3,3,Yes
507,4,2,2,No
508,5,2,2,Yes
509,2,4,4,Yes
510,5,4,4,Yes
511,1,3,3,Yes
512,3,5,5,No
513,5,3,3,Yes
514,3,1,1,Yes
515,5,5,5,Yes
516,2,5,5,Yes
517,4,2,2,Yes
518,3,1,1,Yes
519,1,5,5,No
520,5,2,2,Yes
521,2,3,3,Yes
522,4,,,Yes
523,5,,,Yes
524,2,,,Yes
525,5,,,Yes
526,3,,,Yes
527,1,,,Yes
528,5,,,No
529,3,,,Yes
530,2,,,No
531,2,,,Yes
532,4,,,Yes
533,4,,,No
534,3,,5,Yes
535,5,,3,Yes
536,3,5,4,Yes
537,1,3,5,Yes
538,5,4,2,No
539,5,5,5,Yes
540,2,2,1,Yes
541,1,5,3,Yes
542,5,1,5,No
543,2,3,3,Yes
544,3,5,5,Yes
545,5,3,2,Yes
546,3,5,4,Yes
547,4,2,3,No
548,5,4,1,Yes
549,2,3,5,Yes
550,5,1,2,Yes
551,1,5,4,Yes
552,3,2,5,No
553,5,4,2,Yes
554,3,5,5,Yes
555,5,2,3,Yes
556,2,5,1,Yes
557,4,3,5,Yes
558,3,1,3,Yes
559,1,5,2,No
560,5,3,2,Yes
561,2,2,4,Yes
562,4,2,4,Yes
563,5,4,3,Yes
564,2,4,5,Yes
565,5,3,3,Yes
566,3,5,1,Yes
567,1,3,5,Yes
568,5,1,5,No
569,3,5,2,Yes
570,2,5,1,No
571,2,2,5,Yes
572,4,1,2,Yes
573,4,5,3,No
574,3,2,5,Yes
575,5,3,3,Yes
576,3,5,4,Yes
577,1,3,5,Yes
578,5,4,2,No
579,5,5,5,Yes
580,2,2,1,Yes
581,1,5,3,Yes
582,5,1,5,No
583,2,3,3,Yes
584,3,5,5,Yes
585,5,3,2,Yes
586,3,5,4,Yes
587,4,2,3,No
588,5,4,1,Yes
589,2,3,5,Yes
590,5,1,2,Yes
591,1,5,4,Yes
592,3,2,5,No
593,5,4,2,Yes
594,3,5,5,Yes
595,5,2,3,Yes
596,2,5,1,Yes
597,4,3,5,Yes
598,3,1,3,Yes
599,1,5,2,No
600,5,3,2,Yes
601,2,2,4,Yes
602,4,2,4,Yes
603,5,4,3,Yes
604,2,4,5,Yes
605,5,3,3,Yes
606,3,5,1,Yes
607,1,3,5,Yes
608,5,1,5,No
609,3,5,2,Yes
610,2,5,1,No
611,2,2,5,Yes
612,4,1,2,Yes
613,4,5,3,No
614,3,2,5,Yes
615,5,3,3,Yes
616,3,5,4,Yes
617,1,3,5,Yes
618,5,4,2,No
619,5,5,5,Yes
620,2,2,1,Yes
621,1,5,3,Yes
622,5,1,5,No
623,2,3,3,Yes
624,3,5,5,Yes
625,5,3,2,Yes
626,3,5,4,Yes
627,4,2,3,No
628,5,4,1,Yes
629,2,3,5,Yes
630,5,1,2,Yes
631,1,5,4,Yes
632,3,2,5,No
633,5,4,2,Yes
634,3,5,5,Yes
635,5,2,3,Yes
636,2,5,1,Yes
637,4,3,5,Yes
638,3,1,3,Yes
639,1,5,2,No
640,5,3,2,Yes
641,2,2,4,Yes
642,4,2,4,Yes
643,5,4,3,Yes
644,2,4,5,Yes
645,5,3,3,Yes
646,3,5,1,Yes
647,1,3,5,Yes
648,5,1,5,No
649,3,5,2,Yes
650,2,5,1,No
651,2,2,5,Yes
652,4,1,2,Yes
653,4,5,3,No
654,3,2,5,Yes
655,5,3,3,Yes
656,3,5,4,Yes
657,1,3,5,Yes
658,5,4,2,No
659,5,5,5,Yes
660,2,2,1,Yes
661,1,5,3,Yes
662,5,1,5,No
663,2,3,3,Yes
664,3,5,5,Yes
665,,3,2,Yes
666,5,5,4,Yes
667,3,2,3,No
668,4,4,1,Yes
669,5,3,5,Yes
670,2,1,2,Yes
671,5,5,4,Yes
672,1,2,5,No
673,3,4,2,Yes
674,5,5,5,Yes
675,3,2,3,Yes
676,5,5,1,Yes
677,2,3,5,Yes
678,4,1,3,Yes
679,3,5,2,No
680,1,3,2,Yes
681,5,2,4,Yes
682,2,2,4,Yes
683,4,4,3,Yes
684,5,4,5,Yes
685,2,3,3,Yes
686,5,5,1,Yes
687,3,3,5,Yes
688,1,1,5,No
689,5,5,2,Yes
690,3,5,1,No
691,2,2,5,Yes
692,2,1,2,Yes
693,4,5,3,No
694,4,2,,Yes
695,3,3,,Yes
696,5,,,Yes
697,3,,,Yes
698,1,,,No
699,5,,,Yes
700,5,3,4,Yes
701,3,4,3,Yes
702,4,5,2,No
703,5,3,4,Yes
704,2,5,1,Yes
705,5,2,5,Yes
706,1,4,3,Yes
707,3,3,2,No
708,5,1,3,Yes
709,3,5,3,Yes
710,5,3,4,Yes
711,2,2,5,Yes
712,4,5,3,No
713,3,4,2,Yes
714,1,5,1,Yes
715,5,4,5,Yes
716,2,2,4,Yes
717,4,5,4,Yes
718,5,1,5,Yes
719,2,4,4,No
720,5,5,1,Yes
721,3,3,3,Yes
722,1,5,5,Yes
723,5,4,4,Yes
724,3,3,2,Yes
725,2,3,4,Yes
726,2,2,3,Yes
727,4,5,4,Yes
728,4,1,2,No
729,3,4,5,Yes
730,5,5,4,No
731,3,3,4,Yes
732,1,2,5,Yes
733,5,5,1,No
734,5,1,2,Yes
735,2,3,3,Yes
736,1,5,4,Yes
737,5,4,3,Yes
738,2,2,4,No
739,3,3,2,Yes
740,5,5,5,Yes
741,3,3,3,Yes
742,4,4,4,No
743,5,5,5,Yes
744,2,2,2,Yes
745,5,5,5,Yes
746,1,1,1,Yes
747,3,3,3,No
748,5,5,5,Yes
749,3,3,3,Yes
750,5,5,5,Yes
751,2,2,2,Yes
752,4,4,4,No
753,3,3,3,Yes
754,1,1,1,Yes
755,5,5,5,Yes
756,2,2,2,Yes
757,4,4,4,Yes
758,5,5,5,Yes
759,2,2,2,No
760,5,5,5,Yes
761,3,3,3,Yes
762,1,1,1,Yes
763,5,5,5,Yes
764,3,3,3,Yes
765,2,2,2,Yes
766,2,2,2,Yes
767,4,4,4,Yes
768,4,4,4,No
769,3,3,3,Yes
770,5,5,5,No
771,3,3,3,Yes
772,1,1,1,Yes
773,5,5,5,No
774,5,5,5,Yes
775,2,2,2,Yes
776,1,1,1,Yes
777,5,5,5,Yes
778,2,2,2,No
779,3,3,3,Yes
780,5,5,5,Yes
781,3,3,3,Yes
782,4,4,4,No
783,5,5,5,Yes
784,2,2,2,Yes
785,5,5,5,Yes
786,1,1,1,Yes
787,3,3,3,No
788,5,5,5,Yes
789,3,3,3,Yes
790,5,5,5,Yes
791,2,2,2,Yes
792,4,4,4,No
793,3,3,3,Yes
794,1,1,1,Yes
795,5,5,5,Yes
796,2,2,2,Yes
797,4,4,4,Yes
798,5,5,5,Yes
799,2,2,2,No
800,5,5,5,Yes
801,3,3,3,Yes
802,1,1,1,Yes
803,5,5,5,Yes
804,3,3,3,Yes
805,2,2,2,Yes
806,2,2,2,Yes
807,4,4,4,Yes
808,4,4,4,No
809,3,3,3,Yes
810,5,5,5,No
811,3,3,3,Yes
812,1,1,1,Yes
813,5,5,5,No
814,5,5,5,Yes
815,2,2,2,Yes
816,1,1,1,Yes
817,5,5,5,Yes
818,2,2,2,No
819,3,3,3,Yes
820,5,5,5,Yes
821,3,3,3,Yes
822,4,4,4,No
823,5,5,5,Yes
824,2,2,2,Yes
825,5,5,5,Yes
826,1,1,1,Yes
827,3,3,3,No
828,5,5,5,Yes
829,3,3,3,Yes
830,5,5,5,Yes
831,2,2,2,Yes
832,4,4,4,No
833,3,3,3,Yes
834,1,1,1,Yes
835,5,5,5,Yes
836,2,2,2,Yes
837,4,4,4,Yes
838,5,5,5,Yes
839,2,2,2,No
840,5,5,5,Yes
841,3,3,3,Yes
842,1,1,1,Yes
843,5,5,5,Yes
844,3,3,3,Yes
845,2,2,2,Yes
846,2,2,2,Yes
847,4,4,4,Yes
848,4,4,4,No
849,3,3,3,Yes
850,5,5,5,No
851,3,3,3,Yes
852,1,1,1,Yes
853,5,5,5,No
854,5,5,5,Yes
855,2,2,2,Yes
856,1,1,1,Yes
857,5,5,5,Yes
858,2,2,2,No
859,3,3,3,Yes
860,5,5,5,Yes
861,3,3,3,Yes
862,4,4,4,No
863,5,5,5,Yes
864,2,2,2,Yes
865,5,5,5,Yes
866,1,1,1,Yes
867,3,3,3,No
868,5,5,5,Yes
869,3,3,3,Yes
870,5,5,5,Yes
871,2,2,2,Yes
872,4,4,4,No
873,3,3,3,Yes
874,1,1,1,Yes
875,5,5,5,Yes
876,2,2,2,Yes
877,4,4,4,Yes
878,5,5,5,Yes
879,2,2,2,No
880,5,5,5,Yes
881,3,3,3,Yes
882,1,1,1,Yes
883,5,5,5,Yes
884,3,3,3,Yes
885,2,2,2,Yes
886,2,2,2,Yes
887,4,4,4,Yes
888,4,4,4,No
889,3,3,3,Yes
890,5,5,5,No
891,3,3,3,Yes
892,1,1,1,Yes
893,5,5,5,No
894,5,5,5,Yes
895,2,2,2,Yes
896,1,1,1,Yes
897,5,5,5,Yes
898,2,2,2,No
899,3,3,3,Yes
900,5,5,5,Yes
901,3,3,3,Yes
902,4,4,4,No
903,5,5,5,Yes
904,2,2,2,Yes
905,5,5,5,Yes
906,1,1,1,Yes
907,3,3,3,No
908,5,5,5,Yes
909,3,3,3,Yes
910,5,5,5,Yes
911,2,2,2,Yes
912,4,4,4,No
913,3,3,3,Yes
914,1,1,1,Yes
915,5,5,5,Yes
916,2,2,2,Yes
917,4,4,4,Yes
918,5,5,5,Yes
919,2,2,2,No
920,5,5,5,Yes
921,3,3,3,Yes
922,1,1,1,Yes
923,5,5,5,Yes
924,3,3,3,Yes
925,2,2,2,Yes
926,2,2,2,Yes
927,4,4,4,Yes
928,4,4,4,No
929,3,3,3,Yes
930,5,5,5,No
931,3,3,3,Yes
932,1,1,1,Yes
933,5,5,5,No
934,5,5,5,Yes
935,2,2,2,Yes
936,1,1,1,Yes
937,5,5,5,Yes
938,2,2,2,No
939,3,3,3,Yes
940,5,5,5,Yes
941,3,3,3,Yes
942,4,4,4,No
943,5,5,5,Yes
944,2,2,2,Yes
945,5,5,5,Yes
946,1,1,1,Yes
947,3,3,3,No
948,5,5,5,Yes
949,3,3,3,Yes
950,5,5,5,Yes
951,2,2,2,Yes
952,4,4,4,No
953,3,3,3,Yes
954,1,1,1,Yes
955,5,5,5,Yes
956,2,2,2,Yes
957,4,4,4,Yes
958,5,5,5,Yes
959,2,2,2,No
960,5,5,5,Yes
961,3,3,3,Yes
962,1,1,1,Yes
963,5,5,5,Yes
964,3,3,3,Yes
965,2,2,2,Yes
966,2,2,2,Yes
967,4,4,4,Yes
968,4,4,4,No
969,3,3,3,Yes
970,5,5,5,No
971,3,3,3,Yes
972,1,1,1,Yes
973,5,5,5,No
974,5,5,5,Yes
975,2,2,2,Yes
976,1,1,1,Yes
977,5,5,5,Yes
978,2,2,2,No
979,3,3,3,Yes
980,5,5,5,Yes
981,3,3,3,Yes
982,4,4,4,No
983,5,5,5,Yes
984,2,2,2,Yes
985,5,5,5,Yes
986,1,1,1,Yes
987,3,3,3,No
988,5,5,5,Yes
989,3,3,3,Yes
990,5,5,5,Yes
991,2,2,2,Yes
992,4,4,4,No
993,3,3,3,Yes
994,1,1,1,Yes
995,5,5,5,Yes
996,2,2,2,Yes
997,4,4,4,Yes
998,5,5,5,Yes
999,2,2,2,No
1000,5,5,5,Yes
1001,3,3,3,Yes
1002,1,1,1,Yes
1003,5,5,5,Yes
1004,3,3,3,Yes
1005,2,2,2,Yes
1006,2,2,2,Yes
1007,4,4,4,Yes
1008,4,4,4,No
1009,3,3,3,Yes
1010,5,5,5,No
1011,3,3,3,Yes
1012,1,1,1,Yes
1013,5,5,5,No
1014,5,5,5,Yes
1015,2,2,2,Yes
1016,1,1,1,Yes
1017,5,5,5,Yes
1018,2,2,2,No
1019,3,3,3,Yes
1020,,5,5,Yes
1021,,3,3,Yes
1022,,4,4,No
1023,,5,5,Yes
1024,,2,2,Yes
1025,,5,5,Yes
1026,,1,1,Yes
1027,,3,3,No
1028,,5,5,Yes
1029,,3,3,Yes
1030,,5,5,Yes
1031,,2,2,Yes
1032,,4,4,No
1033,,3,3,Yes
1034,,1,1,Yes
1035,,5,5,Yes
1036,,2,2,Yes
1037,,4,4,Yes
1038,,5,5,Yes
1039,,2,2,No
1040,,5,5,Yes
1041,,3,3,Yes
1042,,1,1,Yes
1043,5,5,5,Yes
1044,3,3,3,Yes
1045,4,2,2,Yes
1046,5,2,2,Yes
1047,2,4,4,Yes
1048,5,4,4,No
1049,1,3,3,Yes
1050,3,5,5,No
1051,5,3,3,Yes
1052,3,1,1,Yes
1053,5,5,5,No
1054,2,5,5,Yes
1055,4,2,2,Yes
1056,3,1,1,Yes
1057,1,5,5,Yes
1058,5,2,2,No
1059,2,3,3,Yes
1060,4,,,Yes
1061,5,5,5,Yes
1062,2,3,3,No
1063,5,4,4,Yes
1064,3,5,5,Yes
1065,1,2,2,Yes
1066,5,5,5,Yes
1067,3,1,1,No
1068,2,3,3,Yes
1069,2,5,5,Yes
1070,4,3,3,Yes
1071,4,5,5,Yes
1072,3,2,2,No
1073,5,4,4,Yes
1074,3,3,3,Yes
1075,1,1,1,Yes
1076,5,5,5,Yes
1077,5,2,2,Yes
1078,2,4,4,Yes
1079,1,5,5,No
1080,5,2,2,Yes
1081,2,5,5,Yes
1082,3,3,3,Yes
1083,5,1,1,Yes
1084,3,5,5,Yes
1085,4,3,3,Yes
1086,5,2,2,Yes
1087,2,2,2,Yes
1088,5,4,4,No
1089,1,4,4,Yes
1090,3,3,3,No
1091,5,5,5,Yes
1092,3,3,3,Yes
1093,5,1,1,No
1094,2,5,5,Yes
1095,4,5,5,Yes
1096,3,2,2,Yes
1097,1,1,1,Yes
1098,5,5,5,No
1099,2,2,2,Yes
1100,4,3,3,Yes
1101,5,5,5,Yes
1102,2,3,3,No
1103,5,4,4,Yes
1104,3,5,5,Yes
1105,1,2,2,Yes
1106,5,5,5,Yes
1107,3,1,1,No
1108,2,3,3,Yes
1109,2,5,5,Yes
1110,4,3,3,Yes
1111,4,5,5,Yes
1112,3,2,2,No
1113,5,4,4,Yes
1114,3,3,3,Yes
1115,1,1,1,Yes
1116,5,5,5,Yes
1117,5,2,2,Yes
1118,2,4,4,Yes
1119,1,5,5,No
1120,5,2,2,Yes
1121,2,5,5,Yes
1122,3,3,3,Yes
1123,5,1,1,Yes
1124,3,5,5,Yes
1125,4,3,3,Yes
1126,5,2,2,Yes
1127,2,2,2,Yes
1128,5,4,4,No
1129,1,4,4,Yes
1130,3,3,3,No
1131,5,5,5,Yes
1132,3,3,3,Yes
1133,5,1,1,No
1134,2,5,5,Yes
1135,4,5,5,Yes
1136,3,2,2,Yes
1137,1,1,1,Yes
1138,5,5,5,No
1139,2,2,2,Yes
1140,4,3,3,Yes
1141,5,5,5,Yes
1142,2,3,3,No
1143,5,4,4,Yes
1144,3,5,5,Yes
1145,1,2,2,Yes
1146,5,5,5,Yes
1147,3,1,1,No
1148,2,3,3,Yes
1149,2,5,5,Yes
1150,4,3,3,Yes
1151,4,5,5,Yes
1152,3,2,2,No
1153,5,4,4,Yes
1154,3,3,3,Yes
1155,1,1,1,Yes
1156,5,5,5,Yes
1157,5,2,2,Yes
1158,2,4,4,Yes
1159,1,5,5,No
1160,5,2,2,Yes
1161,2,5,5,Yes
1162,3,3,3,Yes
1163,5,1,1,Yes
1164,3,5,5,Yes
1165,4,3,3,Yes
1166,5,2,2,Yes
1167,2,2,2,Yes
1168,5,4,4,No
